Year,Dist Name,Lat,Lon,N,P,K,Mean_NDVI,ANNUALRAIN,Fertility_Class
2012,Buldhana,20.536846,76.18087,59.83,40.14,13.08,0.38246294,568.3,Medium
2013,Buldhana,20.536846,76.18087,69.26,41.01,13.19,0.383653664,845,Medium
2014,Buldhana,20.536846,76.18087,64.59,45.97,18.87,0.408735253,488,Medium
2015,Buldhana,20.536846,76.18087,56.54,41.93,11.42,0.429206906,522.2,Medium
2016,Buldhana,20.536846,76.18087,57.23,39.36,13.31,0.39219229,651.1,Medium
2017,Buldhana,20.536846,76.18087,51.61,41.81,15.05,0.431706456,567,Medium
2007,Akola,20.707228,77.00296,38.35,22.13,9.08,0.398484187,866,Low
2008,Akola,20.707228,77.00296,31.81,28.34,9.29,0.368180526,535.5,Low
2009,Akola,20.707228,77.00296,39.5,35.12,8.81,0.382929987,571.9,Low
2010,Akola,20.707228,77.00296,47.1,37.31,11.74,0.413896749,780.4,Low
2011,Akola,20.707228,77.00296,52.19,40.09,12.01,0.395893446,620.4,Medium
2012,Akola,20.707228,77.00296,38.51,27.1,8,0.386408304,791.8,Low
2013,Akola,20.707228,77.00296,40.16,29.75,4.85,0.393559698,832.6,Low
2014,Akola,20.707228,77.00296,33.73,23.14,8.73,0.404506346,519.9,Low
2015,Akola,20.707228,77.00296,38.44,33.81,10.19,0.428206072,551.3,Low
2016,Akola,20.707228,77.00296,33.34,22.66,6.73,0.403261208,740.6,Low
2017,Akola,20.707228,77.00296,28.38,25.36,8.91,0.427859448,490.1,Low
2007,Amaravati,20.937424,77.779549,27.1,14.89,6.57,0.428990778,907.3,Medium
2008,Amaravati,20.937424,77.779549,29.34,25.51,11.36,0.396293,609.5,Low
2009,Amaravati,20.937424,77.779549,39.26,29.32,13,0.421323613,542,Low
2010,Amaravati,20.937424,77.779549,42.53,35.51,11.66,0.449820496,1018.5,Low
2011,Amaravati,20.937424,77.779549,51.74,42.83,15.87,0.425667047,857.5,Medium
2012,Amaravati,20.937424,77.779549,38.59,25.65,9,0.412907255,1021.5,Low
2013,Amaravati,20.937424,77.779549,38.58,25.01,10.26,0.417853445,940,Low
2014,Amaravati,20.937424,77.779549,38,24.09,14.51,0.44307191,744.9,Low
2015,Amaravati,20.937424,77.779549,42.46,32.4,14.15,0.475104153,701.9,Low
2016,Amaravati,20.937424,77.779549,33.89,23.15,11.01,0.426632225,796.3,Low
2017,Amaravati,20.937424,77.779549,35.68,26.08,13.71,0.452315912,529.3,Low
2007,Yavatmal,20.388794,78.120407,48.18,27.34,9.6,0.428368401,838.8,Low
2008,Yavatmal,20.388794,78.120407,45.95,22.87,12.09,0.398493407,667.2,Low
2009,Yavatmal,20.388794,78.120407,41.89,35.7,17.83,0.399208334,483.2,Low
2010,Yavatmal,20.388794,78.120407,60.74,41.01,22.09,0.429030736,1046.3,Medium
2011,Yavatmal,20.388794,78.120407,67.02,41.6,15.09,0.447277767,779.7,Medium
2012,Yavatmal,20.388794,78.120407,60.81,36.73,15.58,0.413977106,908.2,Medium
2013,Yavatmal,20.388794,78.120407,58.58,27.91,11.44,0.421295103,1105,Medium
2014,Yavatmal,20.388794,78.120407,66.1,34.15,19.67,0.454541123,487.2,Medium
2015,Yavatmal,20.388794,78.120407,68.5,37.74,16.76,0.46783329,479.1,Medium
2016,Yavatmal,20.388794,78.120407,59.82,27.18,16.82,0.419695891,732.1,Medium
2017,Yavatmal,20.388794,78.120407,49.08,32.44,18.82,0.466822616,442.8,Low
2007,Wardha,20.7453,78.6022,45.47,27.02,16.81,0.425908125,1248.1,Low
2008,Wardha,20.7453,78.6022,64.97,49.16,20.58,0.393535843,786.8,Medium
2009,Wardha,20.7453,78.6022,61.25,53.31,25.76,0.405162687,562.9,Medium
2010,Wardha,20.7453,78.6022,74.86,56.4,26.85,0.434915826,1151.4,Medium
2011,Wardha,20.7453,78.6022,62.23,52.16,17.17,0.438813888,966.4,Medium
2012,Wardha,20.7453,78.6022,64.72,38.73,19.29,0.413653137,850.8,Medium
2013,Wardha,20.7453,78.6022,73.17,40.83,22.24,0.426415013,1108.4,Medium
2014,Wardha,20.7453,78.6022,79.42,43.8,35.8,0.448152147,695.8,Medium
2015,Wardha,20.7453,78.6022,79.55,57.43,27.46,0.473064746,779,Medium
2016,Wardha,20.7453,78.6022,90.08,54.29,30.86,0.417494137,846.5,High
2017,Wardha,20.7453,78.6022,67.9,47.06,36.68,0.466787087,647.5,Medium
2007,Nagpur,21.146633,79.08886,51.6,34.87,6.67,0.443540341,1118.8,Medium
2008,Nagpur,21.146633,79.08886,51.2,40.21,13.42,0.431035239,781.2,Medium
2009,Nagpur,21.146633,79.08886,57.76,46.46,8.84,0.426151546,844.1,Medium
2010,Nagpur,21.146633,79.08886,63.52,51.06,16.2,0.452330242,1152.1,Medium
2011,Nagpur,21.146633,79.08886,65.28,49.68,14.11,0.45017606,941.4,Medium
2012,Nagpur,21.146633,79.08886,65.25,35.78,10.96,0.41883632,993.7,Medium
2013,Nagpur,21.146633,79.08886,66.14,31.04,9.6,0.427334649,1291.7,Medium
2014,Nagpur,21.146633,79.08886,68.15,35.42,14.95,0.461923654,720.1,Medium
2015,Nagpur,21.146633,79.08886,81.48,49.08,14.24,0.483530192,938.2,Medium
2016,Nagpur,21.146633,79.08886,64.46,32.38,12.53,0.438951032,729.4,Medium
2017,Nagpur,21.146633,79.08886,77.3,46.26,16.59,0.460765672,772.9,Medium
2007,Bhandara,21.17,79.650002,84.29,36.05,17.29,0.459551485,1275.8,Medium
2008,Bhandara,21.17,79.650002,67.32,21.32,3.18,0.45585627,898.9,Medium
2009,Bhandara,21.17,79.650002,62.07,37.82,3.94,0.440452021,862.6,Medium
2010,Bhandara,21.17,79.650002,75.55,41.21,9.86,0.473338938,1423.4,Medium
2011,Bhandara,21.17,79.650002,82.12,42.34,5.82,0.471466906,1088.4,Medium
2012,Bhandara,21.17,79.650002,67.58,34.93,8.51,0.453742747,1301.2,Medium
2013,Bhandara,21.17,79.650002,78.82,34.25,6.38,0.45725476,1595.1,Medium
2014,Bhandara,21.17,79.650002,77.11,37.74,6.66,0.484873066,772.4,Medium
2015,Bhandara,21.17,79.650002,93.39,43.12,4.47,0.512239314,957.8,Low
2016,Bhandara,21.17,79.650002,109.33,49.44,7.28,0.463042383,814,Low
2017,Bhandara,21.17,79.650002,80.92,35.72,4.22,0.476628433,785.3,Medium
2007,Chandrapur,19.970324,79.30336,52.04,25.63,7.37,0.458447659,1339.8,Medium
2008,Chandrapur,19.970324,79.30336,44.47,19.34,4.83,0.444172497,990.9,Medium
2009,Chandrapur,19.970324,79.30336,48.53,35.3,9.15,0.43248272,617.1,Low
2010,Chandrapur,19.970324,79.30336,61.13,40.49,9.44,0.455787408,1489.1,Medium
2011,Chandrapur,19.970324,79.30336,67.11,36.06,7.9,0.482572224,991.1,Medium
2012,Chandrapur,19.970324,79.30336,61.89,29.2,8.54,0.439346889,1265.1,Medium
2013,Chandrapur,19.970324,79.30336,60.55,25.02,5.39,0.459536938,1524.1,Medium
2014,Chandrapur,19.970324,79.30336,67.78,33.48,9.51,0.49433055,646.6,Medium
2015,Chandrapur,19.970324,79.30336,79.44,37.65,8.83,0.513354967,421.8,Medium
2016,Chandrapur,19.970324,79.30336,71.99,31.59,6.2,0.460073152,1075.9,Medium
2017,Chandrapur,19.970324,79.30336,75.65,36.56,9.24,0.493385505,590.8,Medium
